#{"t_start": 1734543541.0856562, "env_id": "ContinuousCartPole-v0"}
r,l,t
33.0,33,6.327156
39.0,39,6.334672
59.0,59,6.34565
73.0,73,6.401346
31.0,31,6.414488
32.0,32,6.421457
42.0,42,6.429776
34.0,34,6.436429
42.0,42,6.444279
42.0,42,6.45238
54.0,54,6.462553
39.0,39,6.469951
38.0,38,6.476853
29.0,29,6.482311
55.0,55,6.492408
50.0,50,6.957427
71.0,71,6.97016
79.0,79,6.984433
46.0,46,6.992936
57.0,57,7.003335
56.0,56,7.013631
98.0,98,7.031044
77.0,77,7.045092
58.0,58,7.055983
56.0,56,7.065805
68.0,68,7.078223
47.0,47,7.086623
31.0,31,7.092122
70.0,70,7.104889
36.0,36,7.111463
84.0,84,7.126721
46.0,46,7.134804
33.0,33,7.141023
74.0,74,7.154348
68.0,68,7.166368
32.0,32,7.172331
43.0,43,7.180151
40.0,40,7.187294
39.0,39,7.19419
71.0,71,7.207553
37.0,37,7.214114
60.0,60,7.224915
89.0,89,7.241173
52.0,52,7.250715
68.0,68,7.262354
73.0,73,7.275331
32.0,32,7.281371
33.0,33,7.287273
48.0,48,7.295819
65.0,65,7.307336
39.0,39,7.314622
74.0,74,7.775071
50.0,50,7.784693
39.0,39,7.791845
54.0,54,7.801376
41.0,41,7.809126
82.0,82,7.824743
40.0,40,7.831884
62.0,62,7.843078
79.0,79,7.857574
41.0,41,7.865017
40.0,40,7.8721
72.0,72,7.885158
46.0,46,7.893703
144.0,144,7.91964
65.0,65,7.931482
46.0,46,7.939736
46.0,46,7.948489
54.0,54,7.959913
75.0,75,7.974395
64.0,64,7.986717
43.0,43,7.995349
50.0,50,8.005014
45.0,45,8.013196
53.0,53,8.023525
50.0,50,8.033679
35.0,35,8.040217
58.0,58,8.052209
118.0,118,8.074843
59.0,59,8.086362
115.0,115,8.110932
87.0,87,8.129892
142.0,142,8.158833
40.0,40,8.648369
66.0,66,8.661974
38.0,38,8.669971
53.0,53,8.68037
39.0,39,8.688114
94.0,94,8.707391
70.0,70,8.721327
47.0,47,8.73069
54.0,54,8.741844
74.0,74,8.756088
104.0,104,8.777508
73.0,73,8.792369
88.0,88,8.809444
114.0,114,8.831697
49.0,49,8.841605
59.0,59,8.853882
51.0,51,8.867902
75.0,75,8.886071
85.0,85,8.904192
37.0,37,8.91193
85.0,85,8.930323
59.0,59,8.943338
69.0,69,8.956795
105.0,105,8.976701
124.0,124,9.005206
51.0,51,9.015065
94.0,94,9.032994
